"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9666","WAIST JOIN","yes",NULL,"11795",NULL,NULL,"120","0.5"
"9667","SIDE SEAM","yes",NULL,"11795",NULL,NULL,"120","0.5"
"9668","120","yes",NULL,"17250","8","41","80","0.4"
"9669","100","yes",NULL,"17250","8","79","67","0.4"
"9670","100","yes",NULL,"17250","8","18","67","0.4"
"9671","84","yes",NULL,"16413","295","725","70","0.5"
"9672","150","yes",NULL,"16413","295","726","75","0.3"
"9673","70","yes",NULL,"16413","295","759","70","0.6"
"9674","130","yes",NULL,"14754","295","723","65","0.3"
"9675","80","yes",NULL,"14754","295","741","80","0.6"
"9676","80","yes",NULL,"14754","295","742","80","0.6"
"9677","80","yes",NULL,"15767","295","780","80","0.6"
"9678","105","yes",NULL,"15767","295","782","70","0.4"
"9679","105","yes",NULL,"15767","295","784","70","0.4"
"9680","PKT JOIN","yes",NULL,"11611",NULL,NULL,"100","0.6"
"9681","WAIST JOIN","yes",NULL,"11611",NULL,NULL,"120","0.5"
"9682","SIDE SEAM","yes",NULL,"11611",NULL,NULL,"120","0.5"
"9683","80","yes",NULL,"13149","295","780","80","0.6"
"9684","105","yes",NULL,"13149","295","782","70","0.4"
"9685","51","yes",NULL,"13149","295","783","60","0.7"
"9686","59","yes",NULL,"17251","14","79","70","0.7"
"9687","95","yes",NULL,"17251","14","94","72","0.45"
"9688","84","yes",NULL,"17251","28","43","70","0.5"
"9689","105","yes",NULL,"15984","295","760","70","0.4"
"9690","105","yes",NULL,"15984","295","765","70","0.4"
"9691","65","yes",NULL,"15984","295","771","65","0.6"
"9692","BONE CUT","yes",NULL,"11515",NULL,NULL,"115","0.52"
"9693","PKT MARK","yes",NULL,"11515",NULL,NULL,"133","0.45"
"9694","BONE MARK","yes",NULL,"11515",NULL,NULL,"133","0.45"
"9695","130","yes",NULL,"16070","295","784","65","0.3"
"9696","140","yes",NULL,"16070","295","799","70","0.3"
"9697","COLLER MARK","yes",NULL,"11782",NULL,NULL,"120","0.5"
"9698","COLER SISSORING","yes",NULL,"11782",NULL,NULL,"120","0.5"
"9699","BONE  SISSORING","yes",NULL,"11782",NULL,NULL,"133","0.45"
"9700","100","yes",NULL,"17252","16","79","83","0.5"
